control_id,screen,control,intended_behavior,implementation_target,persisted_data,required_permission,offline_behavior,error_behavior,verification_test,status
APP-011,Application shell,Visible build/readiness state,"`Visible build/readiness state` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `Visible build/readiness state`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `Visible build/readiness state`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Visible build/readiness state`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-011: exercise the valid `Visible build/readiness state` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-012,Application shell,No styled no-op controls,"`No styled no-op controls` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `No styled no-op controls`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `No styled no-op controls`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `No styled no-op controls`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-012: exercise the valid `No styled no-op controls` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
AUTH-001,Authority and identity,Resident identity program PGY site and rotation are user-entered,"`Resident identity program PGY site and rotation are user-entered` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.","server-owned identity, ATTEND and authority service","For `Resident identity program PGY site and rotation are user-entered`: resident-reported context, source/version/owner/expiry and content-free decision receipt.",authenticated resident owner; consequential state remains unverified until authorized-human confirmation,"For `Resident identity program PGY site and rotation are user-entered`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Resident identity program PGY site and rotation are user-entered`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","AUTH-001: exercise the valid `Resident identity program PGY site and rotation are user-entered` path and inspect its state; then run missing, stale, expired, conflicting, free-text-approval and title/PGY inflation fixture. Required result: Unverified — authorized human confirmation required; no authority, approval or promotion transition. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
AUTH-002,Authority and identity,No PGY title case-count milestone or prior-success authority inference,"`No PGY title case-count milestone or prior-success authority inference` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.","server-owned identity, ATTEND and authority service","For `No PGY title case-count milestone or prior-success authority inference`: resident-reported context, source/version/owner/expiry and content-free decision receipt.",authenticated resident owner; consequential state remains unverified until authorized-human confirmation,"For `No PGY title case-count milestone or prior-success authority inference`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `No PGY title case-count milestone or prior-success authority inference`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","AUTH-002: exercise the valid `No PGY title case-count milestone or prior-success authority inference` path and inspect its state; then run missing, stale, expired, conflicting, free-text-approval and title/PGY inflation fixture. Required result: Unverified — authorized human confirmation required; no authority, approval or promotion transition. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
AUTH-003,Authority and identity,ATTEND Activity and active-hat gate,"`ATTEND Activity and active-hat gate` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.","server-owned identity, ATTEND and authority service","For `ATTEND Activity and active-hat gate`: resident-reported context, source/version/owner/expiry and content-free decision receipt.",authenticated resident owner; consequential state remains unverified until authorized-human confirmation,"For `ATTEND Activity and active-hat gate`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `ATTEND Activity and active-hat gate`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","AUTH-003: exercise the valid `ATTEND Activity and active-hat gate` path and inspect its state; then run missing, stale, expired, conflicting, free-text-approval and title/PGY inflation fixture. Required result: Unverified — authorized human confirmation required; no authority, approval or promotion transition. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
AUTH-004,Authority and identity,ATTEND Training level and task-entrustment gate,"`ATTEND Training level and task-entrustment gate` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.","server-owned identity, ATTEND and authority service","For `ATTEND Training level and task-entrustment gate`: resident-reported context, source/version/owner/expiry and content-free decision receipt.",authenticated resident owner; consequential state remains unverified until authorized-human confirmation,"For `ATTEND Training level and task-entrustment gate`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `ATTEND Training level and task-entrustment gate`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","AUTH-004: exercise the valid `ATTEND Training level and task-entrustment gate` path and inspect its state; then run missing, stale, expired, conflicting, free-text-approval and title/PGY inflation fixture. Required result: Unverified — authorized human confirmation required; no authority, approval or promotion transition. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
AUTH-005,Authority and identity,ATTEND Team and attending gate,"`ATTEND Team and attending gate` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.","server-owned identity, ATTEND and authority service","For `ATTEND Team and attending gate`: resident-reported context, source/version/owner/expiry and content-free decision receipt.",authenticated resident owner; consequential state remains unverified until authorized-human confirmation,"For `ATTEND Team and attending gate`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `ATTEND Team and attending gate`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","AUTH-005: exercise the valid `ATTEND Team and attending gate` path and inspect its state; then run missing, stale, expired, conflicting, free-text-approval and title/PGY inflation fixture. Required result: Unverified — authorized human confirmation required; no authority, approval or promotion transition. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
AUTH-006,Authority and identity,ATTEND Environment evidence and data gate,"`ATTEND Environment evidence and data gate` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.","server-owned identity, ATTEND and authority service","For `ATTEND Environment evidence and data gate`: resident-reported context, source/version/owner/expiry and content-free decision receipt.",authenticated resident owner; consequential state remains unverified until authorized-human confirmation,"For `ATTEND Environment evidence and data gate`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `ATTEND Environment evidence and data gate`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","AUTH-006: exercise the valid `ATTEND Environment evidence and data gate` path and inspect its state; then run missing, stale, expired, conflicting, free-text-approval and title/PGY inflation fixture. Required result: Unverified — authorized human confirmation required; no authority, approval or promotion transition. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
AUTH-007,Authority and identity,ATTEND Need-for-escalation gate,"`ATTEND Need-for-escalation gate` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.","server-owned identity, ATTEND and authority service","For `ATTEND Need-for-escalation gate`: resident-reported context, source/version/owner/expiry and content-free decision receipt.",authenticated resident owner; consequential state remains unverified until authorized-human confirmation,"For `ATTEND Need-for-escalation gate`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `ATTEND Need-for-escalation gate`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","AUTH-007: exercise the valid `ATTEND Need-for-escalation gate` path and inspect its state; then run missing, stale, expired, conflicting, free-text-approval and title/PGY inflation fixture. Required result: Unverified — authorized human confirmation required; no authority, approval or promotion transition. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
AUTH-008,Authority and identity,ATTEND Decision documentation destination and expiry gate,"`ATTEND Decision documentation destination and expiry gate` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.","server-owned identity, ATTEND and authority service","For `ATTEND Decision documentation destination and expiry gate`: resident-reported context, source/version/owner/expiry and content-free decision receipt.",authenticated resident owner; consequential state remains unverified until authorized-human confirmation,"For `ATTEND Decision documentation destination and expiry gate`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `ATTEND Decision documentation destination and expiry gate`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","AUTH-008: exercise the valid `ATTEND Decision documentation destination and expiry gate` path and inspect its state; then run missing, stale, expired, conflicting, free-text-approval and title/PGY inflation fixture. Required result: Unverified — authorized human confirmation required; no authority, approval or promotion transition. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-001,Data admission,Classify before persistence,"`Classify before persistence` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Classify before persistence`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Classify before persistence`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Classify before persistence`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-001: exercise the valid `Classify before persistence` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-002,Data admission,Classify before provider call,"`Classify before provider call` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Classify before provider call`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Classify before provider call`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Classify before provider call`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-002: exercise the valid `Classify before provider call` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-003,Data admission,Possible PHI absolute stop,"`Possible PHI absolute stop` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Possible PHI absolute stop`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Possible PHI absolute stop`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Possible PHI absolute stop`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-003: exercise the valid `Possible PHI absolute stop` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-004,Data admission,Name-removed clinical narrative stop,"`Name-removed clinical narrative stop` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Name-removed clinical narrative stop`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Name-removed clinical narrative stop`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Name-removed clinical narrative stop`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-004: exercise the valid `Name-removed clinical narrative stop` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-005,Data admission,Chart screenshot audio and recording rejection,"`Chart screenshot audio and recording rejection` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Chart screenshot audio and recording rejection`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Chart screenshot audio and recording rejection`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Chart screenshot audio and recording rejection`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-005: exercise the valid `Chart screenshot audio and recording rejection` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-006,Data admission,Do not request more clinical detail,"`Do not request more clinical detail` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Do not request more clinical detail`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Do not request more clinical detail`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Do not request more clinical detail`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-006: exercise the valid `Do not request more clinical detail` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-007,Data admission,EHR chart order note result and message rejection,"`EHR chart order note result and message rejection` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `EHR chart order note result and message rejection`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `EHR chart order note result and message rejection`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `EHR chart order note result and message rejection`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-007: exercise the valid `EHR chart order note result and message rejection` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-008,Data admission,Diagnosis treatment triage and prognosis rejection,"`Diagnosis treatment triage and prognosis rejection` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Diagnosis treatment triage and prognosis rejection`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Diagnosis treatment triage and prognosis rejection`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Diagnosis treatment triage and prognosis rejection`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-008: exercise the valid `Diagnosis treatment triage and prognosis rejection` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-009,Data admission,Medication dose interaction and compatibility rejection,"`Medication dose interaction and compatibility rejection` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Medication dose interaction and compatibility rejection`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Medication dose interaction and compatibility rejection`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Medication dose interaction and compatibility rejection`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-009: exercise the valid `Medication dose interaction and compatibility rejection` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-010,Data admission,Procedure device consent capacity code-status disposition and discharge rejection,"`Procedure device consent capacity code-status disposition and discharge rejection` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Procedure device consent capacity code-status disposition and discharge rejection`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Procedure device consent capacity code-status disposition and discharge rejection`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Procedure device consent capacity code-status disposition and discharge rejection`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-010: exercise the valid `Procedure device consent capacity code-status disposition and discharge rejection` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-011,Data admission,Handoff consult page and patient-message rejection,"`Handoff consult page and patient-message rejection` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Handoff consult page and patient-message rejection`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Handoff consult page and patient-message rejection`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Handoff consult page and patient-message rejection`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-011: exercise the valid `Handoff consult page and patient-message rejection` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
DATA-012,Data admission,Credential token signature and controlled-substance-secret rejection,"`Credential token signature and controlled-substance-secret rejection` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",pre-echo data-admission gateway,For `Credential token signature and controlled-substance-secret rejection`: classification outcome and content-free trace only; rejected payload has zero residue.,"local P0 classification only; no provider, agent or tool before admission","For `Credential token signature and controlled-substance-secret rejection`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Credential token signature and controlled-substance-secret rejection`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","DATA-012: exercise the valid `Credential token signature and controlled-substance-secret rejection` path and inspect its state; then run prohibited and evasive canary for the named control across UI, API, file, log, index, memory, backup and provider mocks. Required result: rejected before echo/transformation/persistence; zero model, agent, tool and external-action calls. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
